age,education-num,hours-per-week,workclass,occupation
33,13,40, Private, Exec-managerial
42,9,40, Self-emp-not-inc, Farming-fishing
37,10,75, Self-emp-inc, Exec-managerial
24,10,40, Private, Adm-clerical
27,10,40, Private, Craft-repair
29,10,40, State-gov, Adm-clerical
32,13,40, Private, Adm-clerical
42,12,40, Federal-gov, Prof-specialty
43,9,78, Self-emp-inc, Other-service
50,10,40, Private, Other-service
37,9,40, Private, Other-service
45,14,40, Private, Adm-clerical
45,13,40, Private, Adm-clerical
40,13,40, Private, Prof-specialty
44,13,40, Federal-gov, Adm-clerical
38,13,40, Local-gov, Exec-managerial
53,10,40, Federal-gov, Exec-managerial
33,10,40, Private, Exec-managerial
50,9,40, Private, Adm-clerical
19,10,40, Private, Adm-clerical
57,15,40, Private, Craft-repair
17,10,40, ?, ?
36,9,40, Private, Adm-clerical
24,7,40, Private, Transport-moving
43,3,40, Private, Machine-op-inspct
50,15,50, Self-emp-inc, Prof-specialty
23,10,35, Private, Other-service
20,10,40, Private, Adm-clerical
37,2,40, Private, Craft-repair
33,13,80, ?, ?
25,9,40, Private, Handlers-cleaners
20,9,24, Private, Sales
30,9,40, Private, Craft-repair
37,13,77, Self-emp-not-inc, Sales
40,14,40, Federal-gov, Tech-support
25,10,40, Private, Craft-repair
27,12,35, Private, Other-service
20,10,40, Private, Adm-clerical
25,13,40, Private, Tech-support
23,10,24, Private, Adm-clerical
22,13,10, Private, Adm-clerical
23,9,40, Private, Adm-clerical
34,13,40, Private, Exec-managerial
27,10,40, Private, Prof-specialty
23,7,40, Private, Other-service
51,7,40, Private, Machine-op-inspct
46,14,40, Private, Tech-support
53,3,40, Private, Machine-op-inspct
33,3,40, Private, Farming-fishing
40,13,48, Private, Tech-support
30,9,40, Private, Craft-repair
24,13,40, Private, Prof-specialty
31,9,40, ?, ?
37,13,36, Private, Other-service
54,15,50, Self-emp-not-inc, Prof-specialty
36,10,40, Private, Craft-repair
24,10,50, Private, Sales
46,11,63, Self-emp-inc, Exec-managerial
63,9,40, Private, Adm-clerical
49,9,8, Private, Other-service
64,9,60, Private, Tech-support
43,13,80, Self-emp-not-inc, Machine-op-inspct
27,13,40, Private, Prof-specialty
53,4,40, Private, Craft-repair
